date,geo,revenue,tv_spend,digital_spend,social_spend,search_spend,display_spend,price_index,competitor_spend
2022-01-03,northeast,1200.83,238.99,76.09,55.11,103.57,0.0,100.62,169.87
2022-01-10,northeast,1194.43,0.0,73.52,29.35,106.25,0.0,99.59,245.44
2022-01-17,northeast,1287.91,0.0,161.73,90.39,136.89,31.53,99.42,200.28
2022-01-24,northeast,1383.46,108.58,91.56,71.14,95.32,61.51,99.23,145.7
2022-01-31,northeast,1379.31,130.62,151.94,59.33,71.45,0.0,98.53,331.2
2022-02-07,northeast,1376.42,167.87,120.37,101.76,62.44,50.98,98.14,162.27
2022-02-14,northeast,1406.98,240.97,140.17,31.79,133.53,62.63,97.58,342.81
2022-02-21,northeast,1381.75,0.0,104.82,0.0,121.89,0.0,98.46,232.2
2022-02-28,northeast,1338.53,0.0,113.81,23.0,131.4,0.0,98.93,173.86
2022-03-07,northeast,1355.46,0.0,103.59,63.24,83.53,0.0,99.56,250.21
2022-03-14,northeast,1336.26,166.06,67.62,26.95,76.4,0.0,99.92,319.84
2022-03-21,northeast,1277.42,0.0,131.42,32.46,64.48,0.0,99.36,284.84
2022-03-28,northeast,1360.93,0.0,77.97,32.34,98.64,0.0,99.1,296.55
2022-04-04,northeast,1425.14,151.13,46.94,79.13,122.95,0.0,99.34,259.1
2022-04-11,northeast,1367.87,264.32,122.1,0.0,102.85,0.0,98.73,261.52
2022-04-18,northeast,1408.72,148.44,65.43,73.34,107.11,25.57,99.09,291.4
2022-04-25,northeast,1491.24,185.01,157.8,106.67,153.44,0.0,98.97,155.46
2022-05-02,northeast,1498.07,219.46,159.43,54.99,97.02,60.2,98.78,205.01
2022-05-09,northeast,1475.36,156.0,154.7,47.14,112.6,0.0,99.13,143.86
2022-05-16,northeast,1531.69,269.72,88.79,98.44,137.88,55.29,99.36,311.53
2022-05-23,northeast,1329.02,0.0,45.87,0.0,98.84,0.0,99.17,302.26
2022-05-30,northeast,1388.33,135.08,156.33,106.76,119.09,0.0,99.75,104.83
2022-06-06,northeast,1326.08,180.99,95.81,0.0,140.01,31.73,99.21,254.17
2022-06-13,northeast,1331.61,144.26,160.97,0.0,145.93,37.41,99.52,306.33
2022-06-20,northeast,1342.88,141.27,160.6,25.8,70.38,27.49,99.82,147.19
